arestas = [
     [ 2 , 0 , 38 ],
     [ 3 , 0 , 88 ],
     [ 3 , 1 , 52 ],
     [ 3 , 2 , 65 ],
     [ 4 , 0 , 40 ],
     [ 4 , 1 , 50 ],
     [ 4 , 3 , 34 ],
     [ 5 , 1 , 82 ],
     [ 5 , 4 , 39 ],
     [ 6 , 0 , 47 ],
     [ 6 , 3 , 70 ],
     [ 6 , 4 , 40 ],
     [ 7 , 0 , 53 ],
     [ 7 , 2 , 62 ],
     [ 7 , 3 , 59 ],
     [ 7 , 5 , 68 ],
     [ 7 , 6 , 47 ],
     [ 8 , 0 , 60 ],
     [ 8 , 2 , 82 ],
     [ 8 , 3 , 78 ],
     [ 8 , 5 , 82 ],
     [ 8 , 7 , 58 ],
     [ 9 , 0 , 72 ],
     [ 9 , 1 , 65 ],
     [ 9 , 3 , 61 ],
     [ 9 , 4 , 39 ],
     [ 9 , 7 , 40 ],
     [ 9 , 8 , 78 ],
     [ 10 , 0 , 58 ],
     [ 10 , 2 , 83 ],
     [ 10 , 3 , 76 ],
     [ 10 , 5 , 79 ],
     [ 10 , 8 , 71 ],
     [ 10 , 9 , 41 ],
     [ 11 , 0 , 89 ],
     [ 11 , 1 , 59 ],
     [ 11 , 3 , 68 ],
     [ 11 , 4 , 75 ],
     [ 11 , 5 , 38 ],
     [ 11 , 6 , 60 ],
     [ 11 , 8 , 84 ],
     [ 11 , 10 , 71 ],
     [ 12 , 1 , 82 ],
     [ 12 , 2 , 74 ],
     [ 12 , 3 , 38 ],
     [ 12 , 4 , 34 ],
     [ 12 , 5 , 58 ],
     [ 12 , 6 , 55 ],
     [ 12 , 7 , 57 ],
     [ 12 , 8 , 53 ],
     [ 12 , 9 , 51 ],
     [ 12 , 10 , 55 ],
     [ 12 , 11 , 46 ],
     [ 13 , 0 , 87 ],
     [ 13 , 1 , 67 ],
     [ 13 , 2 , 39 ],
     [ 13 , 3 , 44 ],
     [ 13 , 4 , 39 ],
     [ 13 , 5 , 48 ],
     [ 13 , 9 , 55 ],
     [ 13 , 11 , 39 ],
     [ 14 , 1 , 31 ],
     [ 14 , 2 , 47 ],
     [ 14 , 4 , 74 ],
     [ 14 , 6 , 56 ],
     [ 14 , 9 , 63 ],
     [ 14 , 11 , 50 ],
     [ 14 , 12 , 42 ],
     [ 15 , 0 , 82 ],
     [ 15 , 1 , 63 ],
     [ 15 , 2 , 57 ],
     [ 15 , 3 , 33 ],
     [ 15 , 4 , 81 ],
     [ 15 , 5 , 87 ],
     [ 15 , 12 , 31 ],
     [ 15 , 13 , 87 ],
     [ 15 , 14 , 48 ],
     [ 16 , 0 , 40 ],
     [ 16 , 2 , 37 ],
     [ 16 , 3 , 40 ],
     [ 16 , 6 , 89 ],
     [ 16 , 8 , 45 ],
     [ 16 , 9 , 43 ],
     [ 16 , 12 , 57 ],
     [ 16 , 13 , 85 ],
     [ 16 , 14 , 46 ],
     [ 16 , 15 , 41 ],
     [ 17 , 0 , 74 ],
     [ 17 , 1 , 70 ],
     [ 17 , 2 , 49 ],
     [ 17 , 3 , 87 ],
     [ 17 , 4 , 66 ],
     [ 17 , 5 , 88 ],
     [ 17 , 6 , 55 ],
     [ 17 , 8 , 82 ],
     [ 17 , 10 , 61 ],
     [ 17 , 12 , 75 ],
     [ 17 , 14 , 89 ],
     [ 17 , 15 , 54 ],
     [ 17 , 16 , 75 ],
     [ 18 , 0 , 52 ],
     [ 18 , 1 , 37 ],
     [ 18 , 2 , 74 ],
     [ 18 , 3 , 37 ],
     [ 18 , 6 , 31 ],
     [ 18 , 9 , 78 ],
     [ 18 , 10 , 88 ],
     [ 18 , 11 , 59 ],
     [ 18 , 13 , 48 ],
     [ 18 , 14 , 79 ],
     [ 18 , 16 , 88 ],
     [ 18 , 17 , 80 ],
     [ 19 , 0 , 46 ],
     [ 19 , 1 , 40 ],
     [ 19 , 3 , 44 ],
     [ 19 , 6 , 35 ],
     [ 19 , 7 , 71 ],
     [ 19 , 8 , 37 ],
     [ 19 , 10 , 64 ],
     [ 19 , 14 , 74 ],
     [ 19 , 15 , 39 ],
     [  2 , 14 , 0  ]  # Local das Ambulancias
]

