arestas = [
     [2, 0, 72],
     [2, 1, 64],
     [3, 1, 68],
     [3, 2, 62],
     [5, 1, 40],
     [5, 2, 37],
     [5, 3, 64],
     [6, 1, 66],
     [6, 3, 73],
     [6, 4, 50],
     [6, 5, 82],
     [7, 0, 53],
     [7, 1, 49],
     [7, 2, 34],
     [7, 3, 30],
     [7, 4, 57],
     [8, 0, 60],
     [8, 3, 77],
     [8, 4, 49],
     [9, 2, 62],
     [9, 5, 45],
     [9, 8, 43],
     [10, 0, 71],
     [10, 2, 74],
     [10, 3, 80],
     [10, 4, 54],
     [10, 5, 43],
     [10, 7, 71],
     [11, 0, 57],
     [11, 2, 49],
     [11, 3, 38],
     [11, 6, 72],
     [11, 8, 41],
     [11, 9, 77],
     [12, 0, 75],
     [12, 1, 61],
     [12, 2, 63],
     [12, 3, 61],
     [12, 5, 76],
     [12, 7, 48],
     [12, 8, 69],
     [12, 10, 67],
     [12, 11, 56],
     [13, 4, 52],
     [13, 5, 33],
     [13, 6, 83],
     [13, 8, 37],
     [13, 10, 40],
     [13, 11, 54],
     [13, 12, 34],
     [14, 3, 54],
     [14, 5, 41],
     [14, 7, 69],
     [14, 8, 39],
     [14, 10, 46],
     [14, 12, 41],
     [15, 0, 49],
     [15, 2, 34],
     [15, 4, 85],
     [15, 6, 45],
     [15, 11, 73],
     [15, 13, 79],
     [16, 1, 47],
     [16, 2, 82],
     [16, 6, 61],
     [16, 7, 47],
     [16, 8, 68],
     [16, 9, 51],
     [16, 10, 55],
     [16, 12, 88],
     [16, 13, 88],
     [16, 15, 46],
     [17, 4, 87],
     [17, 5, 46],
     [17, 8, 42],
     [17, 9, 55],
     [17, 11, 55],
     [17, 12, 34],
     [17, 13, 52],
     [17, 14, 44],
     [17, 15, 71],
     [17, 16, 86],
     [18, 1, 49],
     [18, 2, 78],
     [18, 4, 55],
     [18, 5, 80],
     [18, 7, 58],
     [18, 8, 30],
     [18, 10, 79],
     [18, 13, 88],
     [18, 14, 61],
     [18, 15, 40],
     [18, 16, 30],
     [19, 1, 39],
     [19, 2, 55],
     [19, 3, 30],
     [19, 4, 50],
     [19, 5, 47],
     [19, 6, 66],
     [19, 7, 37],
     [19, 8, 45],
     [19, 9, 86],
     [19, 11, 52],
     [19, 12, 34],
     [19, 17, 68],
     [20, 0, 70],
     [20, 1, 77],
     [20, 2, 80],
     [20, 4, 40],
     [20, 7, 76],
     [20, 8, 30],
     [20, 12, 61],
     [20, 13, 82],
     [20, 16, 59],
     [20, 17, 36],
     [21, 0, 50],
     [21, 1, 43],
     [21, 3, 56],
     [21, 5, 77],
     [21, 7, 65],
     [21, 8, 87],
     [21, 9, 38],
     [21, 10, 77],
     [21, 12, 83],
     [21, 14, 39],
     [21, 16, 42],
     [21, 17, 42],
     [21, 18, 90],
     [21, 19, 60],
     [22, 0, 33],
     [22, 2, 55],
     [22, 4, 68],
     [22, 5, 64],
